processing,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,stress,qseis2025,qssp2020,600.0,all_components,Pa,0.0,400.0,0.25,1601,11.889061961814683,0.01413497943318688,0.9931970991524226,529.9476946420376,534.5798472198962,0.9913349659513947,61.38233808316011,3.0833676845382785
raw,stress,qseis2025,qssp2020,900.0,ee,Pa,0.0,400.0,0.25,1601,14.210247764693298,0.020193114153397085,0.9899857442292634,145.66174566879928,148.1971866510356,0.9828914364737126,21.2014178655849,1.9810754818571086
raw,stress,qseis2025,qssp2020,900.0,en,Pa,0.0,400.0,0.25,1601,16.392667654840917,0.02687195528420676,0.9868522434386331,103.50268381800802,107.38241875100837,0.9638699241633173,17.866085736070552,1.7490713640913877
raw,stress,qseis2025,qssp2020,900.0,eu,Pa,0.0,400.0,0.25,1601,18.66610009864007,0.03484232928924507,0.98284845966103,74.53450705158394,71.5648934309784,1.0414953963911038,16.325349155160854,0.9976951431434417
raw,stress,qseis2025,qssp2020,900.0,nn,Pa,0.0,400.0,0.25,1601,13.656934244171262,0.018651185294961767,0.9908147544453004,332.03879350771024,334.12817811927755,0.993746757237513,48.548281000856754,4.3129574577150835
raw,stress,qseis2025,qssp2020,900.0,nu,Pa,0.0,400.0,0.25,1601,17.425721865525773,0.0303655782534663,0.9848965145253556,206.35430372290287,197.73490855203733,1.04359066001033,44.94052172056003,2.4931294696468664
raw,stress,qseis2025,qssp2020,900.0,uu,Pa,0.0,400.0,0.25,1601,22.134491433295196,0.04899357110106184,0.9779151583512949,187.01784145889766,174.6226905906951,1.0709824755664545,33.562525231711,3.8993041990676387
raw,stress,qseis2025,qssp2020,900.0,all_components,Pa,0.0,400.0,0.25,1601,16.111664026907498,0.025958571771594503,0.9873572680196789,332.03879350771024,334.12817811927755,0.993746757237513,48.548281000856754,2.8284617763459416
raw,stress,qssp2020,qssp2020,300.0,ee,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,404.0835075732097,404.0835075732097,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,300.0,en,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,434.7616057133222,434.7616057133222,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,300.0,eu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,204.96726112338862,204.96726112338862,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,300.0,nn,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,954.7381506878542,954.7381506878542,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,300.0,nu,Pa,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,558.9490498717475,558.9490498717475,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,300.0,uu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,1179.9253083888177,1179.9253083888177,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,300.0,all_components,Pa,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999998,1179.9253083888177,1179.9253083888177,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,ee,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,241.23277720871982,241.23277720871982,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,en,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,150.35694694722406,150.35694694722406,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,eu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,121.03830202423323,121.03830202423323,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,nn,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,534.5798472198962,534.5798472198962,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,nu,Pa,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,325.94169835699614,325.94169835699614,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,uu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,448.83067789128705,448.83067789128705,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,600.0,all_components,Pa,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,534.5798472198962,534.5798472198962,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,ee,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,148.1971866510356,148.1971866510356,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,en,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,107.38241875100837,107.38241875100837,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,eu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,71.5648934309784,71.5648934309784,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,nn,Pa,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,334.12817811927755,334.12817811927755,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,nu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,197.73490855203733,197.73490855203733,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,uu,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,174.6226905906951,174.6226905906951,1.0,0.0,0.0
raw,stress,qssp2020,qssp2020,900.0,all_components,Pa,0.0,400.0,0.25,1601,0.0,0.0,1.0,334.12817811927755,334.12817811927755,1.0,0.0,0.0
lowpass_0p4Hz,disp,qseis06,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,16.350358984928928,0.026733423893604613,0.9949435617805218,1.6522871496086565e-05,1.957598105537681e-05,0.8440379794681264,3.30703010131009e-06,2.5596402588860205e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,16.5289433685563,0.027320596888094118,0.9948608052917611,2.5775329932117115e-05,3.0755381329297416e-05,0.8380754462492608,5.48423337823102e-06,4.621510764285921e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,23.993147336138453,0.057567111909364775,0.9796463430639717,5.546374756887784e-05,8.001770173979601e-05,0.6931434715437909,2.4553954170918167e-05,1.6340350620525106e-06
