processing,view,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,300.0,Up,m,75.0,115.0,0.25,161,36.12646563953185,0.13051215196042754,0.9420053172064254,5.720046949614035e-05,9.138583614816313e-05,0.6259227021067213,3.602987997315963e-05,8.192825049522138e-06
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,300.0,all_components,m,75.0,115.0,0.25,161,34.965681267827854,0.12225988665233274,0.9463778522751998,5.720046949614035e-05,9.138583614816313e-05,0.6259227021067213,3.602987997315963e-05,5.0368200266412355e-06
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,600.0,East,m,155.0,220.0,0.25,261,43.7654280516879,0.19154126925474702,0.9051635373744837,5.787121359310811e-06,6.513919890251941e-06,0.888423784267169,4.845044106475684e-06,9.87395240521632e-07
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,600.0,North,m,155.0,220.0,0.25,261,21.534118428554393,0.04637182564950059,0.9866456504658857,1.0885500280590382e-05,1.3376820495983014e-05,0.8137584176941925,4.270353810228739e-06,9.873029701334922e-07
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,600.0,Up,m,155.0,220.0,0.25,261,30.089759983606136,0.0905393655871025,0.9655977246320501,3.061781318699873e-05,5.1256799533536754e-05,0.5973414935313281,2.0638986346538023e-05,3.5035362591529622e-06
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,600.0,all_components,m,155.0,220.0,0.25,261,29.660880752882957,0.08797678470367425,0.9664788375572773,3.061781318699873e-05,5.1256799533536754e-05,0.5973414935313281,2.0638986346538023e-05,2.1774972510536585e-06
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,900.0,East,m,240.0,310.0,0.25,281,35.408971588242096,0.1253795268936936,0.9453256627390788,4.154264157313244e-06,5.595150350972427e-06,0.7424758758433079,2.991759349048372e-06,5.73275208051446e-07
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,900.0,North,m,240.0,310.0,0.25,281,19.010699215999157,0.0361406684681191,0.9920665415394759,8.376282163829263e-06,9.270183824778239e-06,0.9035723910285716,2.5896775339437113e-06,6.267887888045872e-07
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,900.0,Up,m,240.0,310.0,0.25,281,28.761560637505557,0.08272273703049089,0.9699591557633386,2.2881472943250995e-05,2.7493010211385146e-05,0.8322651018321572,1.2761572482716084e-05,2.312275740404225e-06
raw,zoom,disp,qseis2025_gaussian,qseis2025_point,900.0,all_components,m,240.0,310.0,0.25,281,27.869770750185847,0.07767241216679147,0.9722517525183884,2.2881472943250995e-05,2.7493010211385146e-05,0.8322651018321572,1.2761572482716084e-05,1.4222198317652883e-06
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,300.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,1.6522871496086565e-05,1.6522871496086565e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,300.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.5775329932117115e-05,2.5775329932117115e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,300.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.546374756887784e-05,5.546374756887784e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,300.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.546374756887784e-05,5.546374756887784e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,600.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.269397466872726e-06,5.269397466872726e-06,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,600.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,1.0902945822837829e-05,1.0902945822837829e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,600.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,3.0496666943211037e-05,3.0496666943211037e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,600.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,3.0496666943211037e-05,3.0496666943211037e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,900.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,4.033648027726849e-06,4.033648027726849e-06,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,900.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,8.412786488774184e-06,8.412786488774184e-06,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,900.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.284284261647252e-05,2.284284261647252e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_stock,qseis2025_gaussian,900.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,2.284284261647252e-05,2.284284261647252e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_point,qseis2025_point,300.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,1.9541087713713064e-05,1.9541087713713064e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_point,qseis2025_point,300.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,3.097105198332102e-05,3.097105198332102e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_point,qseis2025_point,300.0,Up,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,7.985854227207014e-05,7.985854227207014e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_point,qseis2025_point,300.0,all_components,m,0.0,400.0,0.25,1601,0.0,0.0,0.9999999999999999,7.985854227207014e-05,7.985854227207014e-05,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_point,qseis2025_point,600.0,East,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,5.027928430598518e-06,5.027928430598518e-06,1.0,0.0,0.0
lowpass_0p4Hz,full,disp,qseis06_point,qseis2025_point,600.0,North,m,0.0,400.0,0.25,1601,0.0,0.0,1.0,1.2999213906428862e-05,1.2999213906428862e-05,1.0,0.0,0.0
